"","Country","TradePartner","Transactions","Year","Value"
"1","Mexico","United States of America","Exports",2000,147186
"2","Mexico","United States of America","Imports",2000,127534
"3","Mexico","United States of America","Exports",2001,140465
"4","Mexico","United States of America","Imports",2001,114060
"5","Mexico","United States of America","Exports",2002,143151
"6","Mexico","United States of America","Imports",2002,106901
"7","Mexico","United States of America","Exports",2003,147027
"8","Mexico","United States of America","Imports",2003,106082
"9","Mexico","United States of America","Exports",2004,166536
"10","Mexico","United States of America","Imports",2004,111399
"11","Mexico","United States of America","Exports",2005,183837.712957
"12","Mexico","United States of America","Imports",2005,118973.101839
"13","Mexico","United States of America","Exports",2006,212131.772801
"14","Mexico","United States of America","Imports",2006,130809.81742
"15","Mexico","United States of America","Exports",2007,223168
"16","Mexico","United States of America","Imports",2007,143622
"17","Mexico","United States of America","Exports",2008,233794
"18","Mexico","United States of America","Imports",2008,156556
"19","Mexico","United States of America","Exports",2009,185448
"20","Mexico","United States of America","Imports",2009,116234
"21","Mexico","United States of America","Exports",2010,238860
"22","Mexico","United States of America","Imports",2010,149696
"23","Mexico","United States of America","Exports",2011,274691
"24","Mexico","United States of America","Imports",2011,179466
"25","Mexico","United States of America","Exports",2012,288176
"26","Mexico","United States of America","Imports",2012,190557
"27","Mexico","United States of America","Exports",2013,299486.779
"28","Mexico","United States of America","Imports",2013,192590.264701
"29","Mexico","United States of America","Exports",2014,318681.112
"30","Mexico","United States of America","Imports",2014,201556.379719
"31","Mexico","United States of America","Exports",2015,309213.075
"32","Mexico","United States of America","Imports",2015,192062.518407
"33","Mexico","United States of America","Exports",2016,302941.604
"34","Mexico","United States of America","Imports",2016,184861.512273
"35","United States of America","Mexico","Exports",2000,111710
"36","United States of America","Mexico","Imports",2000,137448
"37","United States of America","Mexico","Exports",2001,101508
"38","United States of America","Mexico","Imports",2001,132775
"39","United States of America","Mexico","Exports",2002,97531
"40","United States of America","Mexico","Imports",2002,136142
"41","United States of America","Mexico","Exports",2003,97452
"42","United States of America","Mexico","Imports",2003,139700
"43","United States of America","Mexico","Exports",2004,110775
"44","United States of America","Mexico","Imports",2004,157821
"45","United States of America","Mexico","Exports",2005,120048.215998
"46","United States of America","Mexico","Imports",2005,172480.545784
"47","United States of America","Mexico","Exports",2006,134127.534838
"48","United States of America","Mexico","Imports",2006,200499.681947
"49","United States of America","Mexico","Exports",2007,135900
"50","United States of America","Mexico","Imports",2007,213283
"51","United States of America","Mexico","Exports",2008,151201
"52","United States of America","Mexico","Imports",2008,218635
"53","United States of America","Mexico","Exports",2009,128861
"54","United States of America","Mexico","Imports",2009,178814
"55","United States of America","Mexico","Exports",2010,163640
"56","United States of America","Mexico","Imports",2010,232330
"57","United States of America","Mexico","Exports",2011,198275
"58","United States of America","Mexico","Imports",2011,265347
"59","United States of America","Mexico","Exports",2012,215841
"60","United States of America","Mexico","Imports",2012,279957
"61","United States of America","Mexico","Exports",2013,226076.532847
"62","United States of America","Mexico","Imports",2013,283133.715
"63","United States of America","Mexico","Exports",2014,240792.410917
"64","United States of America","Mexico","Imports",2014,296855.758
"65","United States of America","Mexico","Exports",2015,236106.066528
"66","United States of America","Mexico","Imports",2015,299181.819
"67","United States of America","Mexico","Exports",2016,225636.448598
"68","United States of America","Mexico","Imports",2016,296858.186
